,text,tag
36383,이창호를 합해도 평균연령 20.4세에 평균단위 4.6단으로 청소년 대표팀을 방불케 한다.,BIIOOBOOOBIOOOOOOOOOOBIOOOOOOBOOOBIIOBIOOOOOOOOOO
24004,도로에 차들이 엄청나게 밀려 있는데 그 속에 자신도 끼여서 오도가도 못하고 낑낑대거나 심지어는 사람을 치여 죽게 하는 무서운 꿈을 꾸기도 했다.,BIOOBOOOOOOOOOOOOOOOOOBOOBIOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOBOOOOOOOOO
28378,먼저,OO
14889,"우리의 행정, 우리의 삶 자체가 미완성으로 끝날 가능성이 많습니다.",OOOOBIOOOOOOBOBIOOOBIOOOOOOBIOOOOOOOO
51570,특히 우리 나라의 노동관행과 인사제도에 있어서는 정상적인 시대에는 전혀 상상할 수 없는 고용조정과 인적자원의 시가주의 등 문자 그대로 '노동빅뱅'이라고도 할 수 있는 노동의 유연성을 확보하는 계기가 되었다.,OOOOOOBIOOBIOOOOBIOOOOOOOOOBIOOOBIOOOOOOBIOOOOOOOBIOOOOBBIOOOBIIIOOOBIOOOOOBIIOOOOOOOOOOOOOOOBIOOOOOOOBIOOOBIOOOOOO
63652,비가 올 것같이 흐린 토요일 아침 시간입니다.,BOOOOOOOOOOOBIIOBIOBIOOOO
21662,"무슨 진 자 할 때::,",OOOBOOOOOBOOO
1947,"그리고 하나가 아니면서 둘을 아우르고 둘을 아울렀으면서도 하나가 아니라는 것은, 다툼에 휩쓸리지도 않고 또 그러면서도 다툼의 현장을 떠나지도 않는다는 것이다.",OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOOOBIOOBIOOOOOOOOOOOOOOOO
54664,벽에 붙은 장군들이 고개를 저었다.,BOOOOOBIOOOBIOOOOOO
337,이러한 컴퓨터를 개발하기 위해서는 막대한 자본과 기술을 필요로 하므로 이에 투자한 자본과 노력을 보호하기 위한 노력의 일환으로 지적소유권에 대한 관심이 지금껏 고조되어 왔다.,OOOOBIIOOBIOOOOOOOOOOOOBIOOBIOOBIOOOOOOOOOBIOOBIOOBIOOBIOOOOOOBIOOBIOOOBBIOOOOOOOBIOOOOOOBIOOOOOO
31408,"가즈오 교수는 이러한 문화적 가치들은 그동안 기업과는 거리가 먼 것으로 인식되어 왔지만, 이제는 기업이 경제활동을 통해서 이러한 문화적 가치와 인류적 가치를 구현하도록 노력해야 한다고 역설한다.",BIIOBIOOOOOOBIOOBIOOOBIIOBIOOOBIOOOOOOOOBIOOOOOOOOBIOOBIOOBIOOOOOOOOOOOOBIOOBIOOBIOOBIOOBIOOOOBIOOOOOOOBIOOO
23162,"만화는 그림과 글이 절묘하게 조합되어 있는 매체로서, 비교적 값이 싸면서도 전달하고자 하는 정보를 효과적으로 전달할 수 있다.",BIOOBIOOBOOOOOOOBIOOOOOOBIOOOOBIOOBOOOOOOOBIOOOOOOOBIOOBIOOOOBIOOOOOOO
63017,"""자, 이걸 들렴.""",OOOOOOOOOOO
73083,그러나 그런 안경을 발견해 낸다 하더라도 정치가들은 금세 압수하려고 들 것이다.,OOOOOOOBIOOBIOOOOOOOOOOBIIOOOOOOBIOOOOOOOOOO
10939,상대에 따라 설득이 용이한 수단을 다양하게 사용해야 한다.,BIOOOOOBIOOOOOOBIOOBIOOOBIOOOOOO
52743,"그 작업을 하면서, 일본과 한국은 문학사 서술의 전통이 서로 아주 다르다는 것을 거듭 확인했다.",OOBIOOOOOOOBIOOBIOOBIIOBIOOBIOOOOOOOOOOOOOOOOOOOBIOOO
45220,유지가 '가위'를 내었다.,BIOOOBIOOOOOOO
11872,몸살 감기다.,BIOBIOO
7309,부화기란 한 사람이 문제에 대해 의식적으로는 생각하지 않고 있는데도 무의식적으로 작업이 일어나고 있는 시기를 말한다.,BIIOOOOBIOOBIOOOOOBIOOOOOBIOOOOOOOOOOOOBIOOOOBIOOOOOOOOOOBIOOBOOO
41256,난 자네가 그냥 넘어갔다면 여기서 마무리를 지을까 하는 생각도 하고 있었네.,OOOOOOOOOOOOOOOOOOOBIIOOOOOOOOOBIOOOOOOOOO
66239,이제 특징으로 볼 수 있는 게 바로 여기서 상징적인 자극의 등장인데요?,OOOBIOOOOOOOOOOOOOOOOOOOBIOOOBIOOBIOOOO
5693,"라울은 후반 44분 상대 벌칙구역 안에서 수비수 한명을 제친 뒤, 달려드는 수비수의 가랑이 사이로 왼발 슛을 날려 기선을 제압했다.",BIOOBIOOOOOBIOBIOOOBOOOBIIOOOOOOOOBOOOOOOOBIIOOBIIOBIOOBIOBOOOOOBIOOBIOOO
58532,"그걸 내가 가졌다간 내 나이도 다 못 채우고 죽고 말거야.""",OOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOO
7493,폰 라드가 말한 대로 저자의 중심 의도는 사람은 하느님 대신 우주 만물을 거느리는 '전권 대리자'라는 데 있었던 것 같다.,BOBIOOBOOOOOBIOOBIOBIOOBIOOBIIOBIOBIOBIOOOOOOOOBIOBIIOOOOOOOOOOOOOOO
31097,(원칙 16) 국가 당국은 오염자가 원칙적으로 오염의 비용을 부담하여야 한다는 원칙을 고려하여 환경비용의 내부화와 경제적 수단의 이용을 증진시키도록 하여야 함.,OBIOOOOOBIOBIOOBIIOOBIOOOOBIOOBIOOBIOOOOOOOOBIOOBIOOOBIOOOOBIOOOBIOOBIOOBIOOBIOOOOOOOOOOO
53331,그렇지 않으면은,OOOOOOOO
19268,"스타일이라구 생각을 했는데,",BIIOOOOBIOOOOOO
33145,수입차 업체마다 이 같은 판매 증가세를 유지하기 위해 최근 새로운 모델을 잇따라 선보이고 있다.,BIOOBIOOOOOOOOBIOBIIOOBIOOOOOOBIOOOOOBIOOOOOOOOOOOOOO
72838,"이때 용어의 사용과 판단에는 주관적인 의견이 개입할 여지가 원칙적으로 없으며, 그것들은 모두 엄밀한 학문적 근거를 갖는다.",BIOBIOOBIOOBIOOOBIOOOBIOOBIOOBIOOBIOOOOOOOOOOOOOOOOOOOOOBIOOBIOOOOOO
64000,"보건소의 직원 중에서 의료직 구성은 1990년 현재 의사(관리의사) 2명, 치과의사(관리의사) 1명, 약사 1명, 의료기사(임상병리사 2명, 방사선사 1명) 3명, 가족계획요원(간호사 3명, 간호조무사 1명) 4명으로 되어 있다.",BIIOOBIOOOOOBIOOBIOOOOOOOOOOOBIIOOOOOOOOOOBIIOOOOOOOOOOOOBIOOOOOBIIOOOOOOOOOOOOBIIIOOOOOOOOOBBIIOOOOOOOOOOOBIIIIOOOOOOOOOOOOOOOO
21527,"감상문이라는 건 단순하게 느낌만을 쓰는 것이라기보다는,",BIIOOOOOOBIOOOBIOOOOOOOOOOOOOO
25731,왜 그리 반갑던지.,OOOOOOOOOO
47983,그렇게 밀도를 주어 힘들일 만한 가치가 있는 이야기를 만들었다는 뜻이기도 하다.,OOOOBIOOOOOOOOOOOOBIOOOOOBIIOOOOOOOOBOOOOOOO
24629,"이들에게 애인은 감정, 사랑의 대상으로 매춘에서 오는 어려움을 견디게 해주는 중요한 존재다.",OOOOOBIOOBIOOBIOOBIOOOBIOOOOOOBIIOOOOOOOOOOOOOOBIOO
2135,"영령전 역시 정전에서와 같은 초석 위에 두리기둥을 세워 이익공으로 결구하였으나, 중앙 4간만은 일출목첨차를 두어 외목도리를 받치고 있다.",BIIOOOOBIOOOOOOOBIOBOOBIIIOOOOOBIIOOOBIOOOOOOBIOOOOOOBIIOOOOOOOBIIIOOOOOOOOO
3704,새파랗게 긴장된 얼굴을 하지 않아도 여유 있는 미소를 보내며 예전과는 또 다른 숙달된 솜씨로 나의 일을 할 수 있게 되었다.,OOOOOBIOOBIOOOOOOOOOBIOOOOBIOOOOOOBIOOOOOOOOBIOOBIOOOOOBOOOOOOOOOOOOO
15112,김 서기관이 감정의 운율을 약간 살리면서 말을 끊고 잠자코 있었다.,BOBIIOOBIOOBIOOOOOOOOOOBOOOOOOOOOOOOO
45152,"안 예쁘다는 얘기가 아니라,",OOOOOOOBIOOOOOO
40424,"""바람 좀……""",OBIOOOOO
23473,어제 일처럼 생생히 기억나면서도 어느 순간 희미한 흑백사진이 되어버린다.,OOOBOOOOOOOOOOOOOOOOOBIOOOOOBIOOOOOOOOOO
66520,어떤 문학가가 아무리 철학적이라 해도 플라톤이나 칸트를 당할 수는 없다.,OOOBIIOOOOOOBIOOOOOOOBIIOOOBIOOOOOOOOOOO
39671,이번 선거의 당락여부를 떠나 1년 2개월 동안 옥바라지해오며 가슴에 묻어 두었던 말을 속시원하게 털어놓을 것 같다.,BIOBIOOBIOOOOOOOOOOOOOOBIOBIIIOOOOBIOOOOOOOOOBOOBOOOOOOOOOOOOOOO
17467,저희는 억지로 옹기쟁이를 만들지 않습니다.,OOOOOOOOBIOOOOOOOOOOOOO
28034,에디슨은 교류의 사용을 완강하게 반대했다.,BIIOOBIOOBIOOOOOOOBIOOO
67265,"미련한 년.""",BIOOOOO
34175,"""염 의원을 오라고 부를까요?""",OBOBIOOOOOOOOOOOO
41164,"""무서워서 못 타.""",OOOOOOOOOOO
44278,진작부터 이 고개가 무서운 고개라는 것을 영구는 마을 사람한테서 듣고 있었다.,OOOOOOOBIOOOOOOBIOOOOOOBIOOBIOBIOOOOOOOOOOO
19117,반찬을 뒤적거리거나 흘리거나 집었다 놓았다 하거나 이것 저것 고르는 것을 삼간다.,BIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
16320,"아동문학사와 글짓기 교육인데, 아동문학사는 언제나 얘기하던 것이고, 글짓기 교육은 그저 평범한 얘기.",BIIOOOOBIIOBIOOOOBIIOOOOOOOOBIOOOOOOOOBIIOBIOOOOOOOOOBIO
57179,경기 과천 국립현대미술관 (관장 김윤수)은 11월11일까지 '진경(眞景)-그 새로운 제안' 전을 연다.,BIOBIOBIIIIIIOOBIOBIIOOOOOOOOOOOOOBIOOOOOOOOOOOBIOOBOOOOO
24118,이들은 자주 이직을 하거나 결혼이라는 것을 통해서 미련 없이 직장을 떠난다.,OOOOOOOBIOOOOOOBIOOOOOOOOOOOBIOOOOBIOOOOOO
30927,이번에는 그녀가 한국말로 물었다.,BIOOOOOOOBIIOOOOOO
9639,"문화공보부 장관을 지낸 이웅희 전장관이 동아방송 시절에 아침 뉴스 쇼를 진행했는데 어느 날 아침, 너무나도 '자신감 있게' 틀려 버렸다.",BIOOOOBIOOOOOBIIOOBIOOBIIIOBIOOBIOBIOBOOBIOOOOOOOBOBIOOOOOOOOBIIOOOOOOOOOOOO
24386,또 손님으로서 남자들 또한 돈을 주고 성을 구매하는 것을 당연하게 여겼다.,OOBIOOOOBIOOOOOBOOOOOBOOBIOOOOOOOOOOOOOOO
54131,"자기 스스로 창의적인 이론을 개척하겠다고 결단을 내려, 중학교 수준의 신교육을 대강 엉성하게 받고, 서양의 문법학에 관해서 제대로 알 수 없는 조건에서, 당대 서양 언어학의 선진 학자들에 비해서 손색이 없고 도리어 앞서나가기조차 한 이론을 수립했다.",OOOOOOOBIOOOBIOOBIOOOOOBIOOOOOOBIIOBIOOOBIOOOOOOOOOOOOOOBIOOBIIOOOOOOOOOOOOOOOOOBIOOOOBIOBIOBIIOOBIOBIOOOOOOOBIOOOOOOOOOOOOOOOOOOOBIOOBIOOO
65020,시에는 특별히 이러한 교묘한 언어 사용이 많이 눈에 띄지만 소설과 수필에서도 작가에 따라 비상한 언어 사용법이 많이 또는 적게 발견될 수 있다.,BOOOOOOOOOOOOOOOBIOBIOOOOOBOOOOOOBIOOBIOOOOBIOOOOOBIOOBIOBIIOOOOOOOOOOOBIOOOOOOO
51989,"외국의 인기 가수들 중에는 대규모의 사단을 이끌고 다니는 사람이 있는데, 그 팀에 있는 수십 또는 수백 명이 모두 타인의 추종을 불허하는 전문가들이다.",BIOOBIOBIOOOOOOOBIOOBIOOOOOOOOOOBIOOOOOOOOOBOOOOOOOOOOOOOOOOOOOOBIOOBIOOBIOOOBIIOOOO
4088,여름이 끝나는가 싶었는데 초겨울로 들어서고 있으니 말이다.,BIOOOOOOOOOOOOBIIOOOOOOOOOOOBOOO
46098,그의 이름이 바로 보 반 러이였다.,OOOBIOOOOOBOBOBIOOO
23937,"일반 교사로서 한국어 교육 및 언어학 지식들을 충분히 갖추고 체계화할 수 있는,",BIOBIOOOBIIOBIOOOBIIOBIOOOOOOOOOOOBIOOOOOOOO
10125,더구나 이 후보는 아들의 병역면제로 안보를 강조하는 정책에 성실성을 의심받고 있어 더욱 그렇다.,OOOOOOBIOOBIOOBIOOOOBIOOBIOOOBIOOBIOOOBIOOOOOOOOOOOOO
73102,"어디서 방송에서,",OOOOBIOOO
9975,지금 나오지 않으면 평생 그곳에 갇힌 채 못 나올 테니까.,OOOOOOOOOOOBIOOOOOOOOOOOOOOOOOOO
22665,"""천봉삼이라 하지요.""",OBIIOOOOOOOO
16823,"하얀 길의, 그 부드러워 보이는 개흙의 유혹에 잠깐 넘어갔을 뿐이다.",OOOBOOOOOOOOOOOOOOBIOOBIOOOOOOOOOOOOOO
61883,한번 들어보지 않을래?,BIOOOOOOOOOO
54618,그는 건강하고 좋아 보였다.,OOOBIOOOOOOOOOO
1181,"토성의 아래 넓이는 24척, 위의 넓이 18척, 높이 25척, 길이 4만 3백척이었다.",BIOOBIOBIOOOOOOOBOOBIOOOOOOOOOOOOOOBIOOOOOOOOOOO
26799,"엎친 데 덮친다고 이런 때에는 좋지 못한 일만 생기는지, 일행 중의 한 사람인 나의 친한 친구 드라크르가 우리들과 떨어져서 진귀한 고산 식물을 찾으러 간 것이 아닌가.",OOOOOOOOOOOOOBOOOOOOOOOBOOOOOOOOBIOOOOOOBIOOOOOOOOBIOBIIIOOOOOOOOOOOOOOOOBIOBIOOOOOOOOOOOOOOO
50489,"""여러분은 지금 당장이라도 채권을 확보하실 수 있습니다.",OOOOOOOOOBIOOOOBIOOBIOOOOOOOOOO
29012,집안이 온통 저것에다 마지막 희망을 걸고 있읍니다.,BIOOOOOOOOOOBIIOBIOOOOOOOOOO
12269,그러나 나는 이상하리만치 담담했다.,OOOOOOOBIOOOOOOOOOO
30006,마침 김형사는 집에 있었다.,OOOBIOOOBOOOOOO
10600,"분장을 진하게 하고 있었지만, 그의 날카로운 눈매와 매끈한 얼굴선을 가려주지는 못했다.",BIOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOOBIIOOOOOOOOOOOO
15423,어린애들 공부시키시느라 수고가 많으십니다.-,BIIOOBIOOOOOOBIOOOOOOOOO
40062,"미국이란 말만 튀어나와도 '아이쿠, 요번엔 또 뭔가…' 하고 깜짝깜짝 놀라는 요즘의 일본 사정에선 충분히 있을 수 있는 짐작이다.",BIOOOBOOOOOOOOOOOOOOBIOOOOOOOOOOOOOOOOOOOOOBIOOBIOBIOOOOOOOOOOOOOOOBIOOO
28998,"63년 '종로서적센터'로 이름을 바꾼 뒤 70, 80년대에는 '젊은이의 거리' 종로의 명물로 사랑받아왔다.",OOOOOBIIIIIOOOBIOOOOOBOOOOOOOOOOOOOBIIOOBIOOBIOOBIOOBIOOOOO
61066,신철이는 이런 말을 하며 이 여자가 모든 것을 보았구나 하고 직각되었다.,BIIOOOOOBOOOOOOOBIOOOOOOOOOOOOOOOOBIOOOO
24655,"박찬호는 97, 98시즌의 성적을 바탕으로 뽑은 올해의 평가에서 82.031의 점수를 획득, 내셔널리그 선발투수 가운데 14위를 차지했다.",BIIOOOOOOOOBIOOBIOOBIOOOOOOBIOOBIOOOOOOOOOOOBIOOBIOOBIIOOOBIOOOBIIOOOOOOBIOOO
1117,전국 온천지역의 호텔및 장급 여관의 예약이 이미 끝났다.,BIOBIOOOOBIOOBOOBIOOBIOOOOOOOOO
6667,죄지은 사람들의 죄풀이가 그것이다.,OOOOBIOOOBIOOOOOOOO
12496,쫄짜로 있는 거랑 차이가 되지.,BIOOOOOOOOBIOOOOO
22915,"""관심도 없어.""",OBIOOOOOO
7744,"""결코 비싼 게 아녀요.",OOOOOOOOOOOOO
74427,그는 내가 멍청하게 앉아 있는 앞을 지나치려다 문득 걸음을 멈추었다.,OOOOOOOOOOOOOOOOOBOOOOOOOOOOOBIOOOOOOO
62558,오히려 한국인이 일본 사전에서 말하는 사대주의자였다면 그 역사는 훨씬 평온한 것이었을 것이다.,OOOOBIIOOBIOBIOOOBOOOBIIIIOOOOOOBIOOOOOBIOOOOOOOOOOO
16009,"그 다음 시간을,",OOBIOBIOO
13837,그리고 귀자(貴子)는 관에 자라(紫羅)를 사용하고 금?은으로 장식한다.,OOOOBIOOOOOOBOOBIOOOOOOBIOOOBBOOOOBIOOO
72722,"더욱 마음이 아픈 것은 병원에서의 장례는 천수를 누린 자연사가 드물고, 젊은이가 병으로 죽거나 일반인들이 사고를 당한 경우일 때가 많다는 점이다.",OOOBIOOOOOOOOBIOOOOBIOOBIOOOOOBIIOOOOOOOBIIOOBOOOOOOOBIIOOOBIOOOOOBIOOBOOOOOOBOOO
14456,"농업은 생명 산업, 농민은 진정한 애국자 현대 사회로 넘어오면서 문명의 이기가 많이 발달되어 사람 살기가 편해졌다지만 여전히 농업은 인간 생존에 필수적인 생명 산업이다.",BIOOBIOBIOOBIOOOOOOBIIOBIOBIOOOOOOOOBIOOBIOOOOOBIOOOBIOOOOOOOOOOOOOOOOBIOOBIOBIOOBIOOOBIOBIOOO
1083,"그래서, 텍스트 바깥에는 아무것도 없기 때문에, 그래, 없더라도, 나는, 바깥으로 간다.",OOOOOBIIOBIOOOBIIOOOOOOOOOOOOOOOOOOOOOOOOBIOOOOOO
19618,"""무엇으로?""",OOOOOOO
21548,"외모 콤플렉스란 무엇인가 1) 화장하는 여자, 화장하지 않는 여자 오늘날 화장은 여성이 갖추어야 할 예의가 되었다.",BIOBIIIOOOOOOOOOOBIOOOBIOOBIOOOOOOBIOBIOOBIOOBIOOOOOOOOOBIOOOOOO
5730,그 기술을 인정해주어야 하는 것은 이것들 중에는 거푸집에서 찍어낸 것도 없지는 않겠지만 대개는 씨멘트 그 자체로 조각을 한 것이다.,OOBIOOBIOOOOOOOOOOOOOOOOOOOBIIOOOOOOOOOOOOOOOOOOOBIOOBIIOOOBIOOBIOOOOOOOO
42826,책은 사야 되겠네 그럼?,BOOOOOOOOOOOO
23002,"현재 정치, 기업, 금융계를 장악하고 있는 엘리트들은 대부분 영국 유학파이기 때문에 한문과 만다린을 쓸 줄 모른다.",OOOBIOOBIOOBIOOOBIOOOOOOBIIOOOBIIOBIOBIOOOOOOOOBIOOBIIOOOOOOOOOO
409,"정부는 한자 병용 따위 시대착오적인 뒷걸음질을 이제라도 바로잡고, 바른 어문정책을 펴나가야 할 책임이 크다.",BIOOBIOBIOOOOBIIIOOOBIIOOOBIOOOOOOOOOOOOBIOOOOOOOOOOOBIOOOOO
74785,또한 국회의 國政監査權이 사라지는 등 정부 감시기능이 대폭 축소되어 不正腐敗의 가능성은 증폭되었고 사회통제는 강고해졌다.,OOOBIOOOOOOOOOOOOOOOOBIOBIOOOOOOOBIOOOOOOOOOBIOOOBIOOOOBIOOOOOOOOOO
12073,"이러한 원리를 이용한 것으로 수지침(약 1㎜만찌름), 서암뜸(온열자극), 압봉(금속돌기 압박자극), 전자빔(간접자극) 압박자극 등이 있다.",OOOOBIOOBIOOOOOOBIIOOOOOOOOOOOBIIOOOOOOOOBIIOOOOOBIOOOOOBIIOOOOOOOBIOOOOOOOOO
7364,신해통공(辛亥通共)을 통하여 육의전(六矣廛) 이외의 시전에게서 금난전권을 박탈함으로써 노론의 정치자금원을 차단하고 자파의 정치자금을 확보하는 데 성공하였다.,BIIIOOOOOOOOOOOOBIIOOOOOOBIOOBIOOOOBIIIOOBIOOOOOBIOOBIIOOOOBIOOOBIOOBIOOOOBIOOOOOBIOOOO
37940,양심불량이구만.,BIOOOOOO
29805,그러나 소비자들의 반발을 두려워하여 아직 이 효모를 사용하는 회사는 없다.,OOOOBIIOOOBIOOOOOOOOOOOOOBIOOBIOOOBIOOOOO
69119,"""재고의 필요성이라니요.",OBIOOBIOOOOOO
50971,그런데 빼떼기는 덩치가 커지면서 자꾸 사립문 밖으로 나가려 했다.,OOOOBIIOOBIOOOOOOOOOOBIIOBOOOOOOOOOO
49472,자리가 엄청 불편하죠?,BIOOOOOBIOOO
46079,돈으로 물든 숙달된 모델들이다.,BOOOOOOBIOOBIOOOO
14623,서연은 한동안 수화기에 송송송 뚫린 구멍을 맹하니 들여다보았다.,BIOOBIIOBIIOOOOOOOOOBIOOOOOOOOOOOOO
57170,새 발명품 중에 물을 길어 올리는 기계가 있었습니다.,OOBIIOOOOBOOOOOOOOOBIOOOOOOOO
63287,한편 갈릴레오가 이 결론을 얻어낸 과정이 우리가 흔히 들어온 일화-갈릴레오가 Pisa의 탑 위에 올라가서 실제로 무게가 다른 물체를 떨어뜨려서 같이 떨어지는 것을 발견했다는-와 달리 이론적 사고에 의해서였다는 것을 주목할 필요가 있다.,BIOBIIIOOOOBIOOOOOOBIOOOOOOOOOOOOOBBIIIOOOOOOOOOOBOBOOOOOOOOOOOBIOOOOOBIOOOOOOOOOOOOOOOOOOOBIOOOOOOOOOBIOOBIOOOOOOOOOOOOBIOOBIOOOOO
6068,우리나라의 시·도에 해당되는 50개 주정부에는 주지사와는 별도로 교육행정을 전담하는 교육감이 있다.,BIIIOOBBOOOBIOOOOOOOBIOOOOBIOOOOBIOOBIOOOOBIOOOBIIOOOOO
55302,"보상은 팀보상과 개인보상의 적절한 균형을 유지하고, 승진의 경우 업무성과와 팀장으로서의 자질을 분리하여 평가할 필요가 있다.",BIOOBIOOOBIOOOOOOOOBIOOBIOOOOBIOOBIOBIOOOOBIOOOOOBIOOBIOOOBIOOBIOOOOO
12518,"그는 주장하기를 仁義道德은 사람이 사회생활을 영위하면서 그것의 필요성을 느끼어 인위적으로 설정한 것이지, 人間의 本性 자체 속에 그런 것이 처음부터 갖추어져 있는 것이 아니라 하였다.",OOOBIOOOOOOOOOOBIOOBIIIOOBIOOOOOOOOBIOOOOOOOBIOOOOBIOOOOOOOOOOOOOOBIOBOOOOOOOOBIOOOOOOOOOOOOOOOOOOOOOO
13701,"원래 태조의 향헌(鄕憲)에서부터 사주존경(士主尊敬)과 같은 대목이 있어 당시 지주 내지 양반 중심의 권익옹호를 위한 점도 없지 않으나 향약의 내용은 대부분 부모효양(父母孝養), 남녀유별(男女有別), 장유유서(長幼有序), 붕우유신(朋友有信), 족속통간(族俗通奸) 등 오륜적 가치규범의 향토생활에 입각한 세분 내지는 연장인 것이다.",BIOBIOOBIOOOOOOOOOBIIIOOOOOOOOOOOBIOOOOOBIOBIOOOOBIOBIOOBIOOOOOOOBOOOOOOOOOBIOOBIOOOOOOBIIIOOOOOOOOBIOOOOOOOOOOBIIIOOOOOOOOBIIIOOOOOOOOBIIIOOOOOOOOOBIOOBIOOOOBIOOOOBIOOBIOOOOOBIOOOOOO
18966,그렇다면 완전히 상이한 사용 가치를 가진 물건들의 효용은 어떤 기준으로 측정되어야 하는가?,OOOOOOOOOOOOOBIOBIOOOOOBIOOOBIOOOOOBIOOOBIOOOOOOOO
